"a1","a2","a3","a4","a5","a6","a7","a8","Class"
-74,98,25,30,-11,34,67,35,"TRUE"
-42,-87,24,88,71,74,87,-74,"FALSE"
-44,72,23,-67,20,33,75,-60,"TRUE"
-75,-88,-59,29,-92,-27,-61,-43,"FALSE"
-41,69,-9,7,-24,-10,-6,-7,"TRUE"
-36,23,-2,-65,0,66,-8,-10,"TRUE"
44,-13,-30,0,85,42,23,-3,"TRUE"
-33,-24,32,-88,-7,-60,69,-54,"FALSE"
94,36,-69,47,-88,-70,-61,69,"FALSE"
63,53,25,49,-56,85,-8,-72,"FALSE"
81,53,-81,10,32,-34,56,-96,"FALSE"
81,-56,61,-94,-69,76,-40,-51,"TRUE"
25,85,-21,-32,-98,-36,-57,3,"FALSE"
87,48,-81,-57,-58,94,68,-7,"FALSE"
-22,-33,97,15,45,-54,-59,6,"FALSE"
46,-2,47,64,-91,-61,7,40,"TRUE"
23,-3,-14,-61,-28,39,-16,-19,"TRUE"
-84,47,-36,-68,2,62,46,-62,"TRUE"
69,8,-44,7,35,3,21,16,"FALSE"
43,-52,84,-46,27,-42,-67,84,"TRUE"
-5,-30,-48,32,-89,20,26,39,"FALSE"
-30,69,-16,-59,-3,-75,64,28,"TRUE"
98,85,-35,-6,-36,6,41,1,"FALSE"
-1,10,-73,68,-62,-25,80,-87,"TRUE"
-30,-69,-41,19,67,-61,73,41,"FALSE"
39,85,98,5,38,-79,-41,-96,"FALSE"
-87,-36,50,31,-31,-93,46,97,"FALSE"
61,86,-28,92,85,60,-62,38,"FALSE"
1,-13,73,-56,37,-75,38,-82,"TRUE"
-69,17,-99,-83,79,85,-93,-84,"TRUE"
-87,-21,-48,19,-81,96,-52,-85,"FALSE"
-48,8,59,-86,83,6,49,96,"TRUE"
-33,-27,-49,98,-65,68,73,-98,"FALSE"
4,-71,52,-83,15,-61,1,34,"TRUE"
41,31,49,-37,-69,-47,21,13,"FALSE"
-46,-2,-32,31,84,-70,-52,63,"FALSE"
42,-28,-4,19,-12,-95,-80,23,"TRUE"
-93,68,-78,66,-43,-34,5,52,"TRUE"
-29,-68,-95,99,-99,-12,78,37,"FALSE"
98,91,-25,-64,44,-80,24,-4,"FALSE"
93,32,36,-12,73,36,18,-64,"FALSE"
-44,-16,87,69,92,-73,84,-75,"FALSE"
61,-28,-28,-89,-11,-7,-73,-56,"TRUE"
-82,12,-92,82,-10,-69,63,-60,"TRUE"
-27,100,44,-68,69,6,30,0,"TRUE"
-55,-35,31,94,58,98,-15,91,"FALSE"
-97,95,87,3,62,-25,97,10,"TRUE"
67,-71,0,71,-34,-48,-33,64,"TRUE"
-24,23,19,-43,-28,99,59,-70,"TRUE"
-35,24,-52,49,100,12,68,-16,"TRUE"
18,-8,89,-96,-48,19,69,-40,"TRUE"
54,89,-20,-45,74,-26,15,-22,"FALSE"
93,-94,19,36,-4,-40,48,-9,"TRUE"
14,-59,7,94,38,50,33,76,"TRUE"
-20,18,-59,-23,2,-96,-7,78,"TRUE"
-96,-25,89,40,-59,-76,-42,-46,"FALSE"
62,-41,46,-98,81,28,-50,-82,"TRUE"
-85,26,75,23,-37,13,31,10,"TRUE"
6,24,-72,26,99,96,11,-60,"FALSE"
91,35,89,14,51,76,-35,-93,"FALSE"
-57,32,-67,57,67,6,68,-13,"TRUE"
-92,17,-16,-82,-78,53,2,-41,"TRUE"
-12,35,-81,-24,-10,79,-9,88,"TRUE"
-80,-27,26,58,-74,89,8,68,"FALSE"
-58,97,-59,-1,-47,-79,-41,-18,"TRUE"
36,97,93,-91,-42,39,98,-89,"FALSE"
49,22,31,-3,-92,-73,75,6,"FALSE"
68,20,28,16,-99,-86,70,-48,"FALSE"
-48,-27,31,-21,78,75,-26,-65,"FALSE"
-35,44,56,47,-47,-26,-14,-70,"TRUE"
27,-6,37,-85,-14,22,95,-65,"TRUE"
60,-41,-42,68,-16,-94,-34,36,"TRUE"
-23,63,93,62,-25,0,76,-2,"TRUE"
-65,55,-1,52,95,-72,-40,-21,"TRUE"
-12,-48,-24,-15,89,59,-95,-43,"FALSE"
-60,-74,-17,-12,-22,-23,-56,-18,"FALSE"
55,-76,57,85,-21,81,27,39,"TRUE"
68,-74,9,-71,88,18,25,-29,"TRUE"
83,91,-29,-81,-62,13,-19,23,"FALSE"
-90,8,76,68,8,0,-10,-74,"TRUE"
5,10,-47,-26,-93,93,67,43,"FALSE"
-40,91,-3,-90,21,-91,8,48,"TRUE"
-1,-92,-96,-32,-87,-63,-41,40,"FALSE"
77,-36,56,-11,12,28,-41,87,"TRUE"
-47,-87,35,8,-71,35,-40,65,"FALSE"
48,-74,-2,-67,11,-31,23,98,"TRUE"
-90,23,50,41,77,-78,90,-68,"TRUE"
40,41,-7,-26,-4,-40,37,-86,"FALSE"
-32,-48,-63,15,23,-73,-50,52,"FALSE"
18,80,-48,69,65,-61,-83,-98,"FALSE"
34,95,-65,11,42,43,4,-12,"FALSE"
64,-84,-59,39,91,-88,53,79,"TRUE"
29,80,-25,89,58,-43,22,40,"FALSE"
-61,96,-15,-24,41,-10,-32,2,"TRUE"
-40,-40,83,78,41,92,86,-75,"FALSE"
-26,-58,-22,-9,-99,38,10,83,"FALSE"
-55,-31,20,96,8,-1,4,37,"FALSE"
25,-37,77,-26,-60,-82,-11,42,"TRUE"
-16,-38,-75,56,42,27,82,44,"FALSE"
-42,-2,97,-99,-25,-11,0,-80,"FALSE"
22,-92,50,-14,47,11,89,36,"TRUE"
8,-76,-17,-59,-70,89,-45,83,"TRUE"
-76,-23,13,0,69,-18,-11,54,"FALSE"
51,-64,71,-47,57,-38,-13,1,"TRUE"
56,2,6,10,18,-91,-26,43,"FALSE"
53,7,46,16,-87,-42,11,27,"FALSE"
-41,9,-66,45,20,-52,25,-95,"TRUE"
-63,26,56,-5,9,81,-5,-10,"TRUE"
19,-1,-69,4,49,-86,-20,-44,"TRUE"
-73,-43,60,-77,6,-93,-26,54,"FALSE"
86,-20,-38,76,-81,67,-79,-32,"TRUE"
87,19,-77,73,92,68,-67,97,"FALSE"
-62,-80,-33,93,-89,73,-40,55,"FALSE"
-11,0,-27,52,-84,87,67,30,"FALSE"
-32,42,67,-77,80,25,40,-10,"TRUE"
90,-26,96,-71,49,62,-44,0,"TRUE"
82,7,0,-81,3,-26,57,-55,"FALSE"
39,95,-11,59,100,15,11,13,"FALSE"
82,9,-27,-68,-12,57,0,53,"FALSE"
45,66,11,-86,51,-16,52,-23,"FALSE"
92,40,-24,89,8,87,73,-2,"FALSE"
-69,-91,10,35,52,80,12,45,"FALSE"
25,-7,26,-78,-11,24,-34,-77,"TRUE"
33,73,-24,-24,-77,27,12,-16,"FALSE"
29,-89,9,-50,-24,1,51,69,"TRUE"
13,39,-57,-10,-93,1,-75,-44,"FALSE"
61,81,-47,-4,57,-82,98,-54,"FALSE"
-13,22,32,-78,-83,82,-26,75,"TRUE"
25,-28,-81,45,-90,-14,-94,39,"TRUE"
74,37,7,51,0,-59,91,-61,"FALSE"
-14,-85,46,25,13,92,-22,10,"FALSE"
-62,-72,79,-94,-83,78,62,83,"FALSE"
88,-99,-25,-75,-6,-49,4,-55,"TRUE"
-6,58,29,-70,47,-97,75,-7,"TRUE"
19,-32,-10,31,-43,14,-77,79,"TRUE"
-9,-19,66,99,-51,-11,-39,-90,"FALSE"
96,32,91,43,80,-29,-18,89,"FALSE"
-5,12,-93,15,4,43,-76,-44,"TRUE"
-37,-37,16,94,57,39,-39,32,"FALSE"
-29,-31,28,-75,-9,-31,94,-77,"FALSE"
49,71,44,-40,65,33,61,39,"FALSE"
-62,90,-1,95,21,94,-48,-16,"TRUE"
34,4,-44,-81,85,-69,-54,-35,"FALSE"
-9,-40,41,-55,96,33,-26,-65,"FALSE"
-64,-11,-50,76,-99,24,-97,89,"FALSE"
-98,-57,-59,28,28,-4,-50,-83,"FALSE"
80,-94,70,-67,-83,3,-92,-78,"TRUE"
-95,-52,18,82,51,32,-34,15,"FALSE"
-81,-91,97,-72,98,4,-34,6,"FALSE"
83,52,9,-51,-54,64,-28,33,"FALSE"
-16,-74,-28,78,38,92,-79,-60,"FALSE"
-50,28,98,-76,-20,51,-40,-18,"TRUE"
15,36,40,-6,-27,-82,33,-80,"FALSE"
85,2,37,11,-42,-85,76,-27,"FALSE"
-35,33,-84,-49,-93,60,64,-12,"TRUE"
-13,78,-34,83,-86,24,-16,40,"TRUE"
-52,40,-27,-17,38,57,-73,-77,"TRUE"
-45,87,-52,99,-98,78,36,-47,"TRUE"
-19,58,-39,-66,55,-18,-28,48,"TRUE"
-8,23,56,-66,-68,-79,-96,-34,"TRUE"
23,-8,8,62,-43,-19,-28,25,"TRUE"
58,-53,-20,-58,25,-21,75,-65,"TRUE"
86,93,-66,32,-58,91,58,-75,"FALSE"
8,52,-12,95,-9,39,-70,57,"FALSE"
20,-31,23,89,-61,85,-83,29,"TRUE"
-46,-22,36,-48,99,-83,10,93,"FALSE"
-88,-36,-19,-22,72,-65,76,72,"FALSE"
45,35,27,89,-21,46,-77,-50,"FALSE"
-50,-9,19,94,-74,21,-24,-34,"FALSE"
63,-89,-27,-39,95,58,-84,-41,"TRUE"
-85,3,14,-54,27,13,-52,-12,"TRUE"
-10,80,-37,-31,10,98,-17,-48,"TRUE"
92,46,-38,-72,60,61,-97,-1,"FALSE"
-43,-42,18,-73,94,-28,-60,-54,"FALSE"
13,-31,78,-83,12,-80,-10,-41,"TRUE"
-46,85,-33,82,-27,100,-8,29,"TRUE"
-70,48,-21,-31,88,29,78,43,"TRUE"
-20,-60,30,84,-85,-60,4,-48,"FALSE"
-49,58,3,-2,2,3,46,44,"TRUE"
92,10,27,42,39,85,-15,1,"FALSE"
-98,-46,-5,15,11,-44,-30,58,"FALSE"
-22,22,-19,-5,-78,-7,-10,-32,"TRUE"
38,99,54,82,-55,-40,90,64,"FALSE"
-40,85,40,90,-43,78,75,20,"TRUE"
-69,88,52,87,88,42,88,76,"TRUE"
18,-92,-64,19,3,9,74,88,"TRUE"
99,-87,-73,-91,8,-76,-24,-15,"TRUE"
-95,65,-1,-15,81,13,-46,-8,"TRUE"
74,-48,-23,-80,-66,-22,86,-73,"TRUE"
-61,-76,76,-18,80,29,27,62,"FALSE"
-60,57,4,24,17,-83,-47,37,"TRUE"
14,-10,-46,-37,70,94,94,35,"TRUE"
63,59,1,8,70,51,-63,23,"FALSE"
-20,24,70,60,3,31,-51,-85,"TRUE"
34,-67,-54,16,-40,-3,26,48,"TRUE"
7,-39,-88,76,-88,-49,-7,43,"TRUE"
-35,-81,-46,-90,85,14,18,74,"FALSE"
12,-1,78,70,91,12,50,-51,"TRUE"
52,40,84,-34,-30,76,-48,22,"FALSE"
-21,-15,50,44,-12,45,-18,-97,"FALSE"
49,90,26,-64,32,33,11,35,"FALSE"
77,-26,-89,-18,-19,33,56,-14,"TRUE"
-81,74,91,-92,71,4,74,45,"TRUE"
-17,-72,10,-98,-57,2,91,77,"FALSE"
98,-54,66,96,45,99,39,-92,"TRUE"
